cubename	galaxy	ra	dec	Type	a_v	D_ang (arcmin)	D_lin (kpc)	z	d (Mpc)	seeing	Lin Esc (pc)	D_25_B	r/R_25_B	t_e	Incl	PA	A++	ut	bt	vt	rt	it	mabs
SN2008fq	NGC6907	20h25m06.63s	-24d48m33.0s	SB(s)bc	0.16926	5.4	50.96	0.01073	45.932	1.0	222.69	1.45	0.813	4.0	36.73	46	NEW OBJ.	11.947	11.917	11.158	10.47	10.138	-21.708
NGC7755	NGC7755	23h47m51.76s	-30d31m19.3s	SB(rs)c	0.04247	5.21	42.97	0.01002	42.892	1.08	224.58	1.70	0.759	5.0	41.66	20		12.512	12.462	11.683	11.11	10.385	-20.668
IRAS05177	ESO362-18	05h19m35.80s	-32d39m27.3s	SB0/a(s) pec	0.04619	1.9	30.5	0.01258	53.864	0.87	227.19	2.76	0.646	-1.0	57.25	160			13.87	13.37	12.73	11.885	-19.89
SN2008aw	NGC4939	13h04m14.39s	-10d20m22.6s	SA(s)bc	0.10819	5.62	59.6	0.01028	44.04	1.09	232.73	2.57	0.513	4.0	61.84	10	NEW OBJ.	12.028	11.888	11.915	10.92	10.183	-21.807
ASASSN-15aj	NGC3449	10h52m53.66s	-32d55m39.4s	SA(s)ab	0.20336	5.33	68.22	0.01093	46.828	1.07	242.92	3.89	0.288	1.0	90.0	148			12.984	12.19	11.65	10.758	-21.326
SN2008J	MCG-02-07-033	02h34m24.51s	-10d50m37.4s	SBbc	0.06014	3.0	56.68	0.01611	68.978	0.74	247.47	2.35	0.363	4.0	73.14				13.895		12.94	12.112	-20.937
SN2009jr	IC1320	20h26m25.66s	02d54m35.0s	SB(s)b	0.35278	1.12	25.2	0.01654	70.854	0.73	250.76	1.26	0.603	3.0	55.65	87			14.443				-20.858
SN2010ev	NGC3244	10h25m28.84s	-39d49m39.2s	SA(rs)cd	0.27652	3.29	27.84	0.00922	39.504	1.34	256.64	2.88	0.741	5.0	43.28	170		12.935	12.935	12.325	11.83	11.455	-20.673
ASASSN-14fd	PGC043070	12h46m14.94s	-40d48m46.8s	S0-a	0.29078	0.74	14.67	0.01591	68.13	0.79	260.94	1.32	0.65	-1.0	56.85				16.83			14.81	-17.783
SN2012ho	MCG-01-57-021	22h40m15.13s	-02d25m26.6s	SB(s)bc pec	0.13919	2.29	23.65	0.00995	42.626	1.28	264.52	1.32	0.575	4.0	57.17				14.25			12.009	-19.069
